,QUEST_ID,cluster_k_8,cluster_k_21,cluster_k_8_name,cluster_k_21_name,CITY,QUEST,DESCRIPTION_SHORT,SMART_CATEGORIES,SORT_DEFAULT
40,8674,3,8,Игры по фильмам,Игры по фильмам (чистые),Москва,Зеленая миля,Ваша основная задача – привести закон в исполнение,"[
  ""Головоломки"",
  ""Игры по фильмам""
]",54052.0
41,11093,1,11,Научная Фантастика,Научная фантастика (чистая),Кемерово,Бермудский треугольник,"В этой игре вам предстоит добывать себе пропитание, дерево и железо, строить убежища и мастерить оружие, расследовать загадочное исчезновение ученых и в конце концов встретиться с настоящими инопланетянами!","[
  ""Научная фантастика""
]",-893821.0
42,610,5,10,Прочее,Детектив и Шпионаж,Казань,Секреты опасного человека,"Профессор математики, преподаватель теории игр в СПБГУ, Феликс Гобан, арестован полицией и обвиняется в серии убийств","[
  ""Детектив или шпионаж"",
  ""Наука/Ученые"",
  ""Расследования"",
  ""Триллер""
]",53819.0
43,15127,0,8,Мистика,Игры по фильмам (чистые),Омск,Закрытая школа,"Ребята попадают в необычную школу, где, на первый взгляд, все как у всех: кабинет директора, предметные классы и многое другое","[
  ""Игры по фильмам"",
  ""Мистика""
]",-884800.0
44,21121,5,16,Прочее,Музеи,Нижний Новгород,Зона отчуждения,Ваша задача – изобрести антидот и обезвредить бомбу!,"[
  ""Музеи""
]",-884800.0
45,12505,0,0,Мистика,Мистика (чистая),Пермь,Астрал,Экстрасенсы клуба «Астрал» владеют даром проникать в потусторонний мир...,"[
  ""Мистика""
]",-884800.0
46,9018,0,0,Мистика,Мистика (чистая),Челябинск,Спиритический сеанс,"В этой игре вам предстоит вызвать дух покойного лорда и пообщаться с ним, защитить родственника от клеветы и выяснить шокирующие подробности жизни своего друга, вместе с детективом допросить всех подозреваемых, сложить воедино все детали","[
  ""Мистика""
]",-884792.0
47,20970,3,8,Игры по фильмам,Игры по фильмам (чистые),Пушкино,Игра в кальмара,На улице к вам подошел незнакомец и предложил сыграть в игру,"[
  ""Игры по фильмам""
]",-884800.0
48,9197,5,4,Прочее,Приключения,Бердск,Настоящий пиратский квест,Дети в начале игры получают приглашения на квест и поиск сокровищ,"[
  ""Приключения""
]",-884800.0
49,20898,0,20,Мистика,Виртуальная реальность Хоррор,Хабаровск,Affected: the Manor,Хватит у вас духа пройти до конца коридора?,"[
  ""Виртуальная реальность"",
  ""Мистика"",
  ""Хоррор""
]",-84800.0
50,8574,2,17,Хоррор,Хоррор Триллер Выживание,Новосибирск,Дом Ганнибала,"Ты здесь, потому что ты – добыча. Твой страх – причина для радости, ведь когда человек его чувствует, то кровь бежит по венам быстрее","[
  ""Выживание"",
  ""Криминал"",
  ""Маньяки"",
  ""Триллер"",
  ""Хоррор""
]",55826.0
51,20356,4,7,Фентези,Фентези с Играми по фильмам,Казань,Алиса в Стране чудес,"В волшебной Cтране чудес ребята встретятся с Абсолемом, Брандашмыгом, Чеширским котом, Мартовским и Белым кроликами, Безумным шляпником, Белой и Красной королевами","[
  ""Игры по фильмам"",
  ""Фэнтези""
]",-884792.0
52,17137,7,6,Виртуальная реальность,Виртуальная реальность (чистая),Якутск,Warpoint,Игра проходит в формате разбитого на несколько раундов матча между двумя командами,"[
  ""Виртуальная реальность""
]",-884800.0
53,16334,7,6,Виртуальная реальность,Виртуальная реальность (чистая),Новосибирск,Warpoint,"Собирайте команду, разрабатывайте план и почувствуйте себя участниками боевых действий!","[
  ""Виртуальная реальность""
]",-884800.0
54,22484,2,3,Хоррор,Хоррор (чистый),Владивосток,Resident Evil,Вы должны попытаться выбраться из заброшенного особняка с тайными комнатами и препятствиями,"[
  ""Хоррор""
]",-84786.0
55,16101,4,7,Фентези,Фентези с Играми по фильмам,Екатеринбург,Prince of Persia: the Dagger of Time,Вы приходите на зов императрицы времени – Кайлины,"[
  ""Виртуальная реальность"",
  ""Игры по фильмам"",
  ""Фэнтези""
]",51893.0
56,14794,5,10,Прочее,Детектив и Шпионаж,Санкт-Петербург,Место преступления,Скотленд-Ярду нужна ваша помощь!,"[
  ""Детектив или шпионаж""
]",52396.0
57,18250,7,6,Виртуальная реальность,Виртуальная реальность (чистая),Москва,Beyond Medusa’s Gate,С помощью современных технологий отправьтесь в Древнюю Грецию и найдите легендарный корабль Аргонавтов!,"[
  ""Виртуальная реальность""
]",54958.0
58,16139,2,17,Хоррор,Хоррор Триллер Выживание,Москва,Кто не спрятался,"Всегда ли детские игры так безобидны, как кажется на первый взгляд?","[
  ""Выживание"",
  ""Психлечебницы"",
  ""Триллер"",
  ""Хоррор""
]",57631.0
59,1711,2,17,Хоррор,Хоррор Триллер Выживание,Саратов,Тревожный вызов,Ваш тревожный вызов начнется с этой минуты…,"[
  ""Выживание"",
  ""Кошмары"",
  ""Маньяки"",
  ""Паранормальные явления"",
  ""Психлечебницы"",
  ""Сумасшедшие"",
  ""Хоррор""
]",53782.0
60,15623,4,7,Фентези,Фентези с Играми по фильмам,Курган,Гравити Фолз,В городке Гравити Фолз стали происходить странные события,"[
  ""Игры по фильмам"",
  ""Фэнтези""
]",-884800.0
61,23312,7,6,Виртуальная реальность,Виртуальная реальность (чистая),Краснодар,Depths of Osiris,"Вам предстоит решить немало головоломок, чтобы выполнить миссию","[
  ""Виртуальная реальность""
]",15700.0
62,5277,5,19,Прочее,Приключения Головоломки,Барнаул,Тайны пирамид,Какие тайны скрывает загадочная пирамида?,"[
  ""Головоломки"",
  ""Древние легенды"",
  ""Древний Египет"",
  ""Исторические"",
  ""Приключения""
]",50620.0
63,18716,2,9,Хоррор,"Зомби (часто с постапокалиптическим миром, иногда с хоррором и VR)",Кемерово,Arizona Sunshine,"В своих отчаянных попытках найти людей вам придется пробиться сквозь орды зомби, охотящихся за вашим мозгом","[
  ""Виртуальная реальность"",
  ""Зомби"",
  ""Постапокалиптический мир"",
  ""Хоррор""
]",-884800.0
64,18333,5,4,Прочее,Приключения,Липецк,Пиратская вечеринка,Готовы отправиться в приключение за пиратскими сокровищами?,"[
  ""Приключения""
]",-884800.0
65,19951,1,11,Научная Фантастика,Научная фантастика (чистая),Самара,Among Us,"Игроки берут случайные карточки, узнают кто они: предатели или члены экипажа, а после перемещаются на корабль для выполнения заданий","[
  ""Научная фантастика""
]",-884800.0
66,20820,4,7,Фентези,Фентези с Играми по фильмам,Омск,"Дело ""Гринготтс""","Вы и не подозревали, что волшебный мир таит в себе столько приключений…","[
  ""Волшебник Гарри"",
  ""Игры по фильмам"",
  ""Криминал"",
  ""Магия"",
  ""Ограбление"",
  ""Приключения"",
  ""Фэнтези""
]",53734.0
67,20219,2,17,Хоррор,Хоррор Триллер Выживание,Рязань,Оно,Готовы взглянуть в глаза своим страхам?,"[
  ""Выживание"",
  ""Демоны"",
  ""Игры по фильмам"",
  ""Клоуны"",
  ""Кошмары"",
  ""Монстры"",
  ""Хоррор""
]",54272.0
68,20631,3,3,Игры по фильмам,Хоррор (чистый),Чебоксары,Кошмар на улице Вязов,"Раз, два... Фредди заберет тебя...","[
  ""Игры по фильмам"",
  ""Хоррор""
]",15790.0
69,21863,7,20,Виртуальная реальность,Виртуальная реальность Хоррор,Ставрополь,Serious Sam,"Вам предстоит взять на себя роль крутого Сэма, непобедимого вояки!","[
  ""Виртуальная реальность"",
  ""Хоррор""
]",-884800.0
70,22910,5,19,Прочее,Приключения Головоломки,Иркутск,Майнкрафт,"Стива похитил злой дракон, но вы можете спасти его, если примените свою креативность и смекалку","[
  ""Волшебные существа"",
  ""Головоломки"",
  ""Зомби"",
  ""Приключения"",
  ""Фэнтези""
]",52159.0
71,18667,7,6,Виртуальная реальность,Виртуальная реальность (чистая),Саратов,Prince of Persia: the Dagger of Time,"Вашей команде нужно работать сообща и управлять временем при помощи кинжала, чтобы выбраться из крепости времени","[
  ""Виртуальная реальность""
]",-84800.0
72,20548,7,6,Виртуальная реальность,Виртуальная реальность (чистая),Томск,Храм Осириса,В составе группы глубоководных археологов вам предстоит проникнуть в затерянный храм Осириса,"[
  ""Виртуальная реальность""
]",-84800.0
73,22819,2,2,Хоррор,"Паранормальные явления с Мистикой, Заброшенными домами и Хоррором",Нижний Новгород,Квартира 518,Это отличная возможность посмотреть квартиру!,"[
  ""Паранормальные явления"",
  ""Призраки"",
  ""Проклятые или заброшенные дома"",
  ""Расследования"",
  ""Триллер"",
  ""Хоррор""
]",55120.0
74,21614,7,6,Виртуальная реальность,Виртуальная реальность (чистая),Новосибирск,Pistol Whip,"Ваша цель – стрелять по врагам, уклоняться от пуль и драться!","[
  ""Виртуальная реальность""
]",-884800.0
75,16429,2,9,Хоррор,"Зомби (часто с постапокалиптическим миром, иногда с хоррором и VR)",Москва,Arizona Sunshine,"Вам придется пробиваться сквозь орды зомби, охотящихся за вашим мозгом","[
  ""Виртуальная реальность"",
  ""Зомби"",
  ""Постапокалиптический мир"",
  ""Хоррор""
]",-884800.0
76,14800,2,3,Хоррор,Хоррор (чистый),Ростов-на-Дону,Во тьме,Задача игроков – найти один единственный ключ и сбежать,"[
  ""Лабиринты"",
  ""Прятки"",
  ""Хоррор""
]",51293.0
77,22151,7,6,Виртуальная реальность,Виртуальная реальность (чистая),Новомосковск,Warpoint,"Собирайте команду, разрабатывайте план и почувствуйте себя участниками боевых действий!","[
  ""Виртуальная реальность""
]",-884800.0
78,8120,0,2,Мистика,"Паранормальные явления с Мистикой, Заброшенными домами и Хоррором",Ростов-на-Дону,Ритуал,Остается только совершить ритуал,"[
  ""Демоны"",
  ""Культы"",
  ""Мистика"",
  ""Ритуалы"",
  ""Хоррор""
]",53811.0
79,10367,0,3,Мистика,Хоррор (чистый),Армавир,Софи,"Вы – группа молодых людей, которые хотят выяснить истинную причину исчезновений людей","[
  ""Мистика"",
  ""Хоррор""
]",-84820.0
80,19591,7,14,Виртуальная реальность,Фентези (чистое),Томск,Elven Assassin,"В роли эльфийского лучника вам необходимо защитить замок, который хотят захватить орки и гоблины","[
  ""Виртуальная реальность"",
  ""Фэнтези""
]",-884800.0
81,15567,4,7,Фентези,Фентези с Играми по фильмам,Воронеж,Зазеркалье,Вас ждет путешествие в мир волшебства! Станьте новыми друзьями Шляпника или Алисы и одновременно главными героями чудесной истории,"[
  ""Игры по фильмам"",
  ""Приключения"",
  ""Фэнтези""
]",-884800.0
82,16028,7,14,Виртуальная реальность,Фентези (чистое),Новосибирск,Dragon Tower,Сможете ли вы выбраться из башни и выйти победителем из смертельной схватки?,"[
  ""Виртуальная реальность"",
  ""Фэнтези""
]",-84600.0
83,22779,0,19,Мистика,Приключения Головоломки,Оренбург,Няня,"Когда мама и папа уехали в отпуск на несколько дней, им пришлось нанять няню, чтобы она присмотрела за детьми","[
  ""Головоломки"",
  ""Мистика"",
  ""Паранормальные явления"",
  ""Призраки"",
  ""Приключения""
]",52189.0
84,8585,6,5,Исторические,Исторические,Кострома,5 эпох Костромы,"Произошло что-то невероятное! Пространственно-временной континуум сдвинулся, и вы обнаружили себя в Костроме 18-го века","[
  ""Исторические""
]",-884825.0
85,11759,0,10,Мистика,Детектив и Шпионаж,Южно-Сахалинск,Полтергейст,Много лет назад произошло убийство девочки...,"[
  ""Детектив или шпионаж"",
  ""Мистика""
]",-84800.0
86,5753,5,17,Прочее,Хоррор Триллер Выживание,Новокузнецк,Лифт,"У вас только один выход – выбраться из лифта самостоятельно, однако сделать это нужно всего за 30 минут!","[
  ""Выживание"",
  ""Головоломки"",
  ""Триллер""
]",50908.0
87,21882,7,6,Виртуальная реальность,Виртуальная реальность (чистая),Хабаровск,Gorn,Выходите на арену и воплощайте в жизнь свои жестокие гладиаторские фантазии!,"[
  ""Виртуальная реальность""
]",-884800.0
88,898,5,19,Прочее,Приключения Головоломки,Москва,Ловушка для Джека Воробья,С недавних пор известный фокусник и иллюзионист увлекся оккультными практиками. При совершении очередного мистического обряда ему удалось открыть временной портал и переместить в наше время самого капитана Джека Воробья!,"[
  ""Волшебные существа"",
  ""Культовые персонажи и крипипаста"",
  ""Магия"",
  ""Пираты"",
  ""Приключения"",
  ""Ритуалы"",
  ""Фэнтези""
]",52271.0
89,20998,1,11,Научная Фантастика,Научная фантастика (чистая),Самара,Among Us. Космическая мафия,Добро пожаловать на борт звездолета!,"[
  ""Научная фантастика""
]",-84800.0
90,18244,0,8,Мистика,Игры по фильмам (чистые),Пермь,Монстры на отдыхе,"Ребят ждут призрачные вышибалы, встреча с паучьими глазами, магические заклинания от ведьминской силы и зомби-танцы","[
  ""Игры по фильмам"",
  ""Мистика""
]",-884800.0
91,6351,2,9,Хоррор,"Зомби (часто с постапокалиптическим миром, иногда с хоррором и VR)",Москва,City Z,"Москва пылает, на улицах свирепствует неизвестный вирус, а город захвачен зомби...","[
  ""Виртуальная реальность"",
  ""Зомби"",
  ""Постапокалиптический мир"",
  ""Хоррор""
]",-884800.0
92,21634,0,8,Мистика,Игры по фильмам (чистые),Екатеринбург,Монстры на каникулах,Мэйвис хочет отпраздновать свой 118-й день рождения...,"[
  ""Игры по фильмам"",
  ""Мистика""
]",-884800.0
93,20875,5,15,Прочее,Ограбление,Москва,Ограбление секретного хранилища,Вам необходимо ограбить банк!,"[
  ""Ограбление""
]",-84800.0
94,20663,5,2,Прочее,"Паранормальные явления с Мистикой, Заброшенными домами и Хоррором",Саратов,"Охотники за привидениями. Миссия ""Кино""","«ОЗП» набирает новобранцев. Самых бесстрашных, сообразительных и нестандартно мыслящих","[
  ""Игры по мультфильмам"",
  ""Паранормальные явления"",
  ""Призраки""
]",51366.0
95,12133,1,11,Научная Фантастика,Научная фантастика (чистая),Обнинск,Загадки планеты Калисто,"Только истинный путешественник между мирами способен разгадать тайны планеты Калисто, соединить межзвездный мост и вернуться на Землю","[
  ""Научная фантастика""
]",-84800.0
96,18101,7,6,Виртуальная реальность,Виртуальная реальность (чистая),Калуга,Warpoint,Игра проходит в формате разбитого на несколько раундов матча между двумя командами,"[
  ""Виртуальная реальность""
]",-884800.0
97,12872,6,5,Исторические,Исторические,Севастополь,Чернобыль,"Чернобыль – это катастрофа планетарного масштаба, ощутить весь ужас и трагедию произошедшего можно, только побывав здесь!","[
  ""Исторические"",
  ""Постапокалиптический мир""
]",-84792.0
98,8338,7,6,Виртуальная реальность,Виртуальная реальность (чистая),Тула,Затерянные во льдах,Станьте участниками приключения в подводных глубинах Антарктики!,"[
  ""Виртуальная реальность""
]",51959.0
99,677,5,19,Прочее,Приключения Головоломки,Ростов-на-Дону,Уэнсдей. Новая битва,"Помогите Уэнсдей побороть зло, пока надежда еще есть...","[
  ""Игры по фильмам"",
  ""Лабиринты"",
  ""Магия"",
  ""Мистика"",
  ""Научная фантастика"",
  ""Приключения"",
  ""Путешествия во времени"",
  ""Романтика"",
  ""Тюрьма"",
  ""Фэнтези""
]",54453.0
100,19231,0,20,Мистика,Виртуальная реальность Хоррор,Псков,Phasmophobia,Вам предстоит исполнить роль исследователя паранормальных явлений,"[
  ""Виртуальная реальность"",
  ""Мистика"",
  ""Хоррор""
]",-884800.0
101,23129,7,6,Виртуальная реальность,Виртуальная реальность (чистая),Владикавказ,Pistol Whip,"Ваша цель – стрелять по врагам, уклоняться от пуль и драться!","[
  ""Виртуальная реальность""
]",-884800.0
102,20468,7,6,Виртуальная реальность,Виртуальная реальность (чистая),Москва,Осада острова,"Вооружитесь спрятанным оружием и защитой, обороняйте остров от чужаков","[
  ""Виртуальная реальность""
]",51871.0
103,16203,1,11,Научная Фантастика,Научная фантастика (чистая),Оренбург,Among Us,Участники делятся на две команды: мирных жителей и предателей,"[
  ""Научная фантастика""
]",-884800.0
104,4240,5,9,Прочее,"Зомби (часто с постапокалиптическим миром, иногда с хоррором и VR)",Пенза,Убежище 58,Постапокалиптическое приключение в стиле Fallout,"[
  ""Постапокалиптический мир""
]",-84795.0
105,11707,1,11,Научная Фантастика,Научная фантастика (чистая),Зеленоград,За гранью,"Вы расследуете исчезновение профессора, занимающегося исследованием явлений за гранью науки","[
  ""Научная фантастика""
]",-84850.0
106,9011,0,0,Мистика,Мистика (чистая),Челябинск,Дом с привидениями,"Вам предстоит проникнуть в старый дом, где живут привидения, столкнуться с хитрыми преступниками, раскрыть тайну пропавшей экспедиции и найти древние сокровища","[
  ""Мистика""
]",-884800.0
107,9170,5,10,Прочее,Детектив и Шпионаж,Воронеж,Мыльная опера,50 лет назад в бедном квартале Сан-Луиса родился Педро Эскабар – будущий мыльный магнат,"[
  ""Детектив или шпионаж""
]",-884800.0
108,22673,5,19,Прочее,Приключения Головоломки,Магнитогорск,Мумия,"Волшебные слова подействовали на мумию, и она ожила...","[
  ""Древние легенды"",
  ""Древний Египет"",
  ""Исторические"",
  ""Мистика"",
  ""Научная фантастика"",
  ""Приключения""
]",48288.0
109,9234,0,3,Мистика,Хоррор (чистый),Нижний Новгород,Заклятие. Дом дьявола,А ты готов поиграть с дьяволом?,"[
  ""Мистика"",
  ""Хоррор""
]",-84554.0
110,19322,5,10,Прочее,Детектив и Шпионаж,Обнинск,Шпионская миссия,Команда шпионов расскажет о всех тайнах разведки,"[
  ""Детектив или шпионаж""
]",-884800.0
111,23568,0,20,Мистика,Виртуальная реальность Хоррор,Санкт-Петербург,Phasmophobia,Вы – исследователи паранормальных явлений,"[
  ""Виртуальная реальность"",
  ""Мистика"",
  ""Хоррор""
]",
112,23296,5,17,Прочее,Хоррор Триллер Выживание,Омск,Пять ночей с Фредди,Вы решили испытать судьбу,"[
  ""Выживание"",
  ""Детектив или шпионаж"",
  ""Игры по фильмам"",
  ""Проклятые или заброшенные дома"",
  ""Расследования"",
  ""Триллер""
]",51791.0
